P,L,S,Ansatz,E
1,1,100,ZZ,-9.079999999999998
1,1,100,GI,-13.39
1,1,500,ZZ,-10.182
1,1,500,GI,-13.758
1,1,1000,ZZ,-9.870999999999999
1,1,1000,GI,-14.126000000000001
1,2,100,ZZ,-12.84
1,2,100,GI,-13.64
1,2,500,ZZ,-13.706
1,2,500,GI,-13.947999999999999
1,2,1000,ZZ,-13.526000000000002
1,2,1000,GI,-14.427000000000001
1,3,100,ZZ,-12.62
1,3,100,GI,-14.55
1,3,500,ZZ,-13.544
1,3,500,GI,-14.135999999999997
1,3,1000,ZZ,-13.612
1,3,1000,GI,-14.085999999999999
2,1,100,ZZ,-15.069999999999999
2,1,100,GI,-23.179999999999996
2,1,500,ZZ,-16.85
2,1,500,GI,-23.598
2,1,1000,ZZ,-16.559
2,1,1000,GI,-23.36
2,2,100,ZZ,-21.260000000000005
2,2,100,GI,-21.37
2,2,500,ZZ,-22.376000000000005
2,2,500,GI,-24.054000000000002
2,2,1000,ZZ,-22.755
2,2,1000,GI,-23.734
2,3,100,ZZ,-22.839999999999996
2,3,100,GI,-23.979999999999997
2,3,500,ZZ,-22.468
2,3,500,GI,-23.926000000000002
2,3,1000,ZZ,-22.678999999999995
2,3,1000,GI,-23.842
3,1,100,ZZ,-23.180000000000003
3,1,100,GI,-31.410000000000004
3,1,500,ZZ,-23.732
3,1,500,GI,-33.182
3,1,1000,ZZ,-23.954000000000004
3,1,1000,GI,-33.334
3,2,100,ZZ,-29.71999999999999
3,2,100,GI,-32.309999999999995
3,2,500,ZZ,-31.227999999999994
3,2,500,GI,-33.476
3,2,1000,ZZ,-31.339
3,2,1000,GI,-33.042
3,3,100,ZZ,-30.400000000000006
3,3,100,GI,-29.7
3,3,500,ZZ,-31.316
3,3,500,GI,-33.352
3,3,1000,ZZ,-31.61000000000001
3,3,1000,GI,-33.204
